App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
HollowKnight,RainParticleWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\model\game\elements\particle\RainParticleWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\game\elements\particle\RainParticle.java,src\test\java\pt\feup\tvvs\soulknight\model\game\elements\particle\RainParticleWhiteBoxTests.java,src\main\java\pt\feup\tvvs\soulknight\model\game\elements\particle\RainParticle.java,7,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false
HollowKnight,RunningStateWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\model\game\elements\knight\RunningStateWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\game\elements\knight\RunningState.java,src\test\java\pt\feup\tvvs\soulknight\model\game\elements\knight\RunningStateWhiteBoxTests.java,src\main\java\pt\feup\tvvs\soulknight\model\game\elements\knight\RunningState.java,12,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false
HollowKnight,LanternaGUIWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\gui\LanternaGUIWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\gui\LanternaGUI.java,src\test\java\pt\feup\tvvs\soulknight\gui\LanternaGUIWhiteBoxTests.java,src\main\java\pt\feup\tvvs\soulknight\gui\LanternaGUI.java,16,true,false,false,false,false,true,false,false,false,false,false,true,false,true,true,false,true,false,false,true,false
HollowKnight,PurpleMonsterMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\model\game\elements\enemies\PurpleMonsterMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\game\elements\enemies\PurpleMonster.java,src\test\java\pt\feup\tvvs\soulknight\model\game\elements\enemies\PurpleMonsterMutationTests.java,src\main\java\pt\feup\tvvs\soulknight\model\game\elements\enemies\PurpleMonster.java,32,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,true,false
HollowKnight,RespawnParticleWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\model\game\elements\particle\RespawnParticleWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\game\elements\particle\RespawnParticle.java,src\test\java\pt\feup\tvvs\soulknight\model\game\elements\particle\RespawnParticleWhiteBoxTests.java,src\main\java\pt\feup\tvvs\soulknight\model\game\elements\particle\RespawnParticle.java,7,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false
HollowKnight,WalkingStateWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\model\game\elements\knight\WalkingStateWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\game\elements\knight\WalkingState.java,src\test\java\pt\feup\tvvs\soulknight\model\game\elements\knight\WalkingStateWhiteBoxTests.java,src\main\java\pt\feup\tvvs\soulknight\model\game\elements\knight\WalkingState.java,12,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false
HollowKnight,RescalableGUIMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\gui\RescalableGUIMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\gui\RescalableGUI.java,src\test\java\pt\feup\tvvs\soulknight\gui\RescalableGUIMutationTests.java,src\main\java\pt\feup\tvvs\soulknight\gui\RescalableGUI.java,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false
HollowKnight,PurpleMonsterWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\model\game\elements\enemies\PurpleMonsterWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\game\elements\enemies\PurpleMonster.java,src\test\java\pt\feup\tvvs\soulknight\model\game\elements\enemies\PurpleMonsterWhiteBoxTests.java,src\main\java\pt\feup\tvvs\soulknight\model\game\elements\enemies\PurpleMonster.java,7,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false
HollowKnight,SwordMonsterMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\model\game\elements\enemies\SwordMonsterMutationTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\game\elements\enemies\SwordMonster.java,src\test\java\pt\feup\tvvs\soulknight\model\game\elements\enemies\SwordMonsterMutationTests.java,src\main\java\pt\feup\tvvs\soulknight\model\game\elements\enemies\SwordMonster.java,27,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,true,false
HollowKnight,SwordMonsterWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\model\game\elements\enemies\SwordMonsterWhiteBoxTests.java,c:\Users\JoaoCoutinho\FEUP\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\game\elements\enemies\SwordMonster.java,src\test\java\pt\feup\tvvs\soulknight\model\game\elements\enemies\SwordMonsterWhiteBoxTests.java,src\main\java\pt\feup\tvvs\soulknight\model\game\elements\enemies\SwordMonster.java,7,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false
